path,descripcion,categoria,costo,venta_local,venta_local_iva_inc,venta_web,venta_web_iva_inc,unidad,tab
PANELS_TECHO.ISOROOF_FOIL.esp.30,Isoroof FOIL 30 mm - Color Gris-Rojo,Paneles Techo,28.14,32.36,39.48,32.36,39.48,m²,BROMYROS
PANELS_TECHO.ISOROOF_FOIL.esp.50,Isoroof FOIL 50 mm - Color Rojo-Gris,Paneles Techo,31.9,36.69,44.76,36.69,44.76,m²,BROMYROS
PANELS_TECHO.ISOROOF_3G.esp.30,Isoroof 30 mm Terracota o Gris,Paneles Techo,34.74,39.95,48.74,39.95,48.74,m²,BROMYROS
PANELS_TECHO.ISOROOF_3G.esp.40,Isoroof 40 mm Terracota o Gris ,Paneles Techo,36.5,41.98,51.21,41.98,51.21,m²,BROMYROS
PANELS_TECHO.ISOROOF_3G.esp.50,Isoroof 50 mm Terracota o Gris,Paneles Techo,38.25,43.99,53.66,43.99,53.66,m²,BROMYROS
PANELS_TECHO.ISOROOF_3G.esp.80,Isoroof 80 mm - Gris - Rojo,Paneles Techo,44.98,51.73,63.11,51.73,63.11,m²,BROMYROS
PANELS_TECHO.ISOROOF_3G.esp.100,Isoroof 100 mm - Gris - Rojo,Paneles Techo,49.39,56.8,69.29,56.8,69.29,m²,BROMYROS
PANELS_TECHO.ISOROOF_PLUS.esp.50,Isoroof Plus 50 mm - Gris - Rojo (MINIMO 800 M2),Paneles Techo,43.53,50.06,61.07,50.06,61.07,m²,BROMYROS
PANELS_TECHO.ISOROOF_PLUS.esp.80,Isoroof Plus 80 mm - Gris - Rojo,Paneles Techo,51.15,58.82,71.76,58.82,71.76,m²,BROMYROS
PANELS_TECHO.ISOROOF_COLONIAL.esp.40,Isoroof COLONIAL 40 mm - Color simil teja,Paneles Techo,53.97,62.07,75.72,62.07,75.72,m²,BROMYROS
SERVICIOS.flete,Flete de Bromyros en Zonas Aledañas,Servicios,180,240,292.8,252,307.44,unid,BROMYROS
SELLADORES.silicona,Bromplast 8 - Silicona Neutra  X 600,Selladores,7.91,9.49,11.58,11.07,13.51,unid,BROMYROS
PERFIL_TECHO.gotero_frontal.ISOROOF.30,Gotero Frontal Simple 30mm Prep.,Perfilería Techo,13.19,15.83,19.31,18.47,22.53,unid,BROMYROS
PERFIL_TECHO.gotero_frontal.ISOROOF.50,Gotero Frontal Simple 50mm Prep.,Perfilería Techo,13.97,16.76,20.45,19.56,23.86,unid,BROMYROS
PERFIL_TECHO.gotero_frontal.ISOROOF.80,Gotero Frontal Simple 80mm Prep.,Perfilería Techo,14.69,17.63,21.51,20.57,25.09,unid,BROMYROS
PERFIL_TECHO.gotero_superior.ISOROOF.30,Gotero Superior 30mm Prep.,Perfilería Techo,23.51,28.21,34.42,32.91,40.16,unid,BROMYROS
PERFIL_TECHO.gotero_superior.ISOROOF.50,Gotero Superior 50mm Prep.,Perfilería Techo,24.23,29.08,35.47,33.92,41.38,unid,BROMYROS
PERFIL_TECHO.gotero_superior.ISOROOF.80,Gotero Superior 80mm Prep.,Perfilería Techo,25.7,30.84,37.62,35.98,43.9,unid,BROMYROS
PERFIL_TECHO.gotero_frontal_greca.ISOROOF.30,Gotero frontal con greca  1 x panel  30  mm,Perfilería Techo,13.84,17.99,21.95,19.38,23.64,unid,BROMYROS
PERFIL_TECHO.gotero_superior.ISODEC_PIR.30,Gotero Superior  -  DE CAMARA  30mm,Perfilería Techo,26.38,31.66,38.62,36.93,45.06,unid,BROMYROS
PERFIL_TECHO.gotero_superior.ISODEC_PIR.50,Gotero Superior  -  DE CAMARA  50mm,Perfilería Techo,22.77,27.32,33.34,31.88,38.89,unid,BROMYROS
PERFIL_TECHO.gotero_superior.ISODEC_PIR.80,Gotero Superior  -  DE CAMARA  80mm,Perfilería Techo,24.95,29.94,36.53,34.93,42.61,unid,BROMYROS
PERFIL_TECHO.gotero_lateral.ISOROOF.30,Gotero Lateral 30mm  Prep.,Perfilería Techo,18.19,21.83,26.63,25.47,31.07,unid,BROMYROS
PERFIL_TECHO.gotero_lateral.ISOROOF.40,Gotero Lateral 40mm  Prep.,Perfilería Techo,18.9,22.68,27.67,26.46,32.28,unid,BROMYROS
PERFIL_TECHO.gotero_lateral.ISOROOF.50,Gotero Lateral 50mm  Prep.,Perfilería Techo,19.64,23.57,28.75,27.5,33.55,unid,BROMYROS
PERFIL_TECHO.gotero_lateral.ISOROOF.80,Gotero Lateral 80mm  Prep.,Perfilería Techo,21.09,25.31,30.88,29.53,36.02,unid,BROMYROS
PERFIL_TECHO.gotero_lateral_camara.ISOROOF.50,Gotero Lateral   CAMARA  50mm  Prep.,Perfilería Techo,18.6,22.32,27.23,26.04,31.77,unid,BROMYROS
PERFIL_TECHO.gotero_lateral_camara.ISOROOF.80,Gotero Lateral  CAMARA  80mm  Prep.,Perfilería Techo,20.92,25.1,30.63,29.29,35.73,unid,BROMYROS
PERFIL_TECHO.babeta_adosar.ISOROOF._all,Babeta de Atornillar Superior 3G,Perfilería Techo,19.78,23.74,28.96,27.69,33.78,unid,BROMYROS
PERFIL_TECHO.babeta_empotrar.ISOROOF._all,Babeta de Empotrar Superior 3G,Perfilería Techo,19.06,22.87,27.9,26.68,32.55,unid,BROMYROS
PERFIL_TECHO.canalon.ISOROOF.30,"Canalón Doble roof 30mm / base 150mm + tapas + agujero + bajada / 3,03 m",Perfilería Techo,59.86,71.83,87.64,83.8,102.24,unid,BROMYROS
PERFIL_TECHO.canalon.ISOROOF.50,"Canalón Doble roof 50mm / base 150mm + tapas + agujero + bajada / 3,03 m",Perfilería Techo,60.99,73.19,89.29,85.39,104.17,unid,BROMYROS
PERFIL_TECHO.canalon.ISOROOF.80,"Canalón Doble roof 80mm / base 150mm + tapas + agujero + bajada / 3,03 m",Perfilería Techo,61.85,74.22,90.55,86.59,105.64,unid,BROMYROS
PERFIL_TECHO.soporte_canalon.ISOROOF._all,Soporte para Canalón Isoroof (3m),Perfilería Techo,10.93,13.12,16,15.3,18.67,unid,BROMYROS
PERFIL_TECHO.cumbrera.ISOROOF._all,Cumbrera Roof 3G de 3 m,Perfilería Techo,29.35,35.22,42.97,41.09,50.13,unid,BROMYROS
PERFIL_TECHO.cumbrera.ISOROOF_COLONIAL._all,"Cumbrera Roof COLONIAL - 2,2 m (2 piezas de 1,1m)",Perfilería Techo,81.55,97.86,119.39,114.17,139.29,unid,BROMYROS
PANELS_PARED.ISOWALL_PIR.esp.50,Isowall 50 mm PIR - GRIS / Blanco,Paneles Pared,38.95,46.74,57.03,46.74,57.03,m²,BROMYROS
PANELS_PARED.ISOWALL_PIR.esp.80,Isowall 80 mm PIR - GRIS / Blanco,Paneles Pared,46.45,55.74,68,55.74,68,m²,BROMYROS
PANELS_PARED.ISOWALL_PIR.esp.100,Isowall 100 mm,Paneles Pared,51.22,58.9,71.86,58.9,71.86,m²,BROMYROS
PANELS_PARED.ISOPANEL_EPS.esp.50,ISOPANEL EPS 50 mm ,Paneles Pared,29.85,34.33,41.88,34.33,41.88,m²,BROMYROS
PANELS_PARED.ISOPANEL_EPS.esp.100,ISOPANEL EPS 100 mm,Paneles Pared,32.84,37.77,46.07,37.77,46.07,m²,BROMYROS
PANELS_PARED.ISOPANEL_EPS.esp.150,ISOPANEL EPS 150 mm,Paneles Pared,36.94,42.48,51.83,42.48,51.83,m²,BROMYROS
PANELS_PARED.ISOPANEL_EPS.esp.200,ISOPANEL EPS 200 mm,Paneles Pared,41.42,47.63,58.11,47.63,58.11,m²,BROMYROS
PANELS_PARED.ISOPANEL_EPS.esp.250,ISOPANEL EPS 250mm,Paneles Pared,45.52,52.35,63.86,52.35,63.86,m²,BROMYROS
PANELS_TECHO.ISODEC_EPS.esp.100,ISODEC EPS 100 mm,Paneles Techo,32.84,37.77,46.07,39.03,47.62,m²,BROMYROS
PANELS_TECHO.ISODEC_EPS.esp.150,ISODEC EPS 150 mm,Paneles Techo,36.94,42.48,51.83,43.9,53.56,m²,BROMYROS
PANELS_TECHO.ISODEC_EPS.esp.200,ISODEC EPS 200 mm,Paneles Techo,41.42,47.63,58.11,49.23,60.06,m²,BROMYROS
PANELS_TECHO.ISODEC_EPS.esp.250,ISODEC EPS 250mm,Paneles Techo,45.52,52.35,63.86,54.1,66,m²,BROMYROS
